dim mu sigma meanW sdW
3 9 8 0.00102389 0.00102284
3 9 9 0.000822298 0.000821622
3 9 10 0.000659668 0.000659233
3 10 0 1.92875e-22 1.92875e-22
3 10 1 2.45378e-12 2.45378e-12
3 10 2 4.06123e-06 4.06121e-06
3 10 3 0.000212845 0.0002128
3 10 4 0.000753674 0.000753106
3 10 5 0.00110313 0.00110192
3 10 6 0.0011492 0.00114788
3 10 7 0.00104124 0.00104016
3 10 8 0.00088436 0.000883578
3 10 9 0.000731836 0.0007313
3 10 10 0.000600673 0.000600312
4 0 0 1 0
4 0 1 0.250579 0.187789
4 0 2 0.0399498 0.0383538
4 0 3 0.00999822 0.00989826
4 0 4 0.00345682 0.00344487
4 0 5 0.00148113 0.00147894
4 0 6 0.00073057 0.000730037
4 0 7 0.000399668 0.000399508
4 0 8 0.000236504 0.000236448
4 0 9 0.000148729 0.000148707
4 0 10 9.8003e-05 9.79934e-05
4 1 0 0.606531 0.238651
4 1 1 0.194777 0.156839
4 1 2 0.0361815 0.0348724
4 1 3 0.00950832 0.00941791
4 1 4 0.00335692 0.00334565
4 1 5 0.00145149 0.00144939
4 1 6 0.000720437 0.000719918
4 1 7 0.000396385 0.000396228
4 1 8 0.000234711 0.000234656
4 1 9 0.000147828 0.000147807
4 1 10 9.74837e-05 9.74742e-05
4 2 0 0.135335 0.11702
4 2 1 0.0919037 0.0834574
4 2 2 0.0268498 0.0261289
4 2 3 0.00819066 0.00812357
4 2 4 0.00307573 0.00306627
4 2 5 0.0013678 0.00136593
4 2 6 0.000691921 0.000691442
4 2 7 0.000384482 0.000384335
4 2 8 0.000229687 0.000229634
4 2 9 0.000145074 0.000145053
4 2 10 9.62429e-05 9.62337e-05
4 3 0 0.011109 0.0109856
4 3 1 0.026345 0.025651
4 3 2 0.0162563 0.0159921
4 3 3 0.00638244 0.00634171
4 3 4 0.00265645 0.00264939
4 3 5 0.00124432 0.00124277
4 3 6 0.000645953 0.000645536
4 3 7 0.000365574 0.000365441
4 3 8 0.000220684 0.000220635
4 3 9 0.000140756 0.000140737
4 3 10 9.37107e-05 9.37019e-05
4 4 0 0.000335463 0.00033535
4 4 1 0.00457109 0.0045502
4 4 2 0.00808898 0.00802355
4 4 3 0.00449252 0.00447233
4 4 4 0.00216226 0.00215759
4 4 5 0.00108783 0.00108665
4 4 6 0.000588342 0.000587996
4 4 7 0.000341174 0.000341058
4 4 8 0.000209178 0.000209134
4 4 9 0.000134678 0.00013466
4 4 10 9.04891e-05 9.0481e-05
4 5 0 3.72665e-06 3.72664e-06
4 5 1 0.000482949 0.000482716
4 5 2 0.00328376 0.00327298
4 5 3 0.0028661 0.00285789
4 5 4 0.00165917 0.00165642
4 5 5 0.000913905 0.00091307
4 5 6 0.000521215 0.000520944
4 5 7 0.000311183 0.000311086
4 5 8 0.000195302 0.000195264
4 5 9 0.000127686 0.00012767
4 5 10 8.66316e-05 8.66241e-05
4 6 0 1.523e-08 1.523e-08
4 6 1 3.07946e-05 3.07936e-05
4 6 2 0.00109329 0.0010921
4 6 3 0.00165437 0.00165163
4 6 4 0.0012011 0.00119966
4 6 5 0.000739583 0.000739036
4 6 6 0.000449228 0.000449026
4 6 7 0.000279131 0.000279053
4 6 8 0.000179302 0.00017927
4 6 9 0.00011928 0.000119266
4 6 10 8.21092e-05 8.21024e-05
4 7 0 2.28973e-11 2.28973e-11
4 7 1 1.17313e-06 1.17313e-06
4 7 2 0.0002978 0.000297711
4 7 3 0.000863054 0.000862309
4 7 4 0.00081817 0.000817501
4 7 5 0.000577415 0.000577082
4 7 6 0.00037694 0.000376798
4 7 7 0.000244889 0.000244829
4 7 8 0.000162525 0.000162499
4 7 9 0.000110227 0.000110215
4 7 10 7.69356e-05 7.69296e-05
4 8 0 1.26642e-14 1.26642e-14
4 8 1 2.59857e-08 2.59857e-08
4 8 2 6.65845e-05 6.65801e-05
4 8 3 0.000407908 0.000407742
4 8 4 0.00052642 0.000526142
4 8 5 0.000431549 0.000431362
4 8 6 0.000307463 0.000307368
4 8 7 0.000211203 0.000211159
4 8 8 0.000144723 0.000144702
4 8 9 0.000100718 0.000100708
4 8 10 7.15372e-05 7.15321e-05
4 9 0 2.57676e-18 2.57676e-18
4 9 1 3.05136e-10 3.05136e-10
4 9 2 1.21422e-05 1.2142e-05
4 9 3 0.000174128 0.000174098
4 9 4 0.000319657 0.000319554
4 9 5 0.000311374 0.000311277
4 9 6 0.000244519 0.00024446
4 9 7 0.000177869 0.000177837
4 9 8 0.000126922 0.000126906
4 9 9 9.06812e-05 9.0673e-05
4 9 10 6.55922e-05 6.55879e-05
4 10 0 1.92875e-22 1.92875e-22
4 10 1 1.73923e-12 1.73923e-12
4 10 2 1.8113e-06 1.8113e-06
4 10 3 6.72975e-05 6.72929e-05
4 10 4 0.0001825 0.000182466
4 10 5 0.00021589 0.000215843
4 10 6 0.000189137 0.000189102
4 10 7 0.00014709 0.000147068
4 10 8 0.000109585 0.000109573
4 10 9 8.08009e-05 8.07944e-05
4 10 10 5.9752e-05 5.97484e-05
5 0 0 1 0
5 0 1 0.176876 0.145591
5 0 2 0.0179148 0.0175938
5 0 3 0.00315915 0.00314917
5 0 4 0.000836639 0.000835939
5 0 5 0.000289642 0.000289558
5 0 6 0.000119907 0.000119893
5 0 7 5.66428e-05 5.66396e-05
5 0 8 2.93712e-05 2.93704e-05
5 0 9 1.64049e-05 1.64047e-05
5 0 10 9.78956e-06 9.78946e-06
5 1 0 0.606531 0.238651
5 1 1 0.13757 0.118644
5 1 2 0.0161834 0.0159215
5 1 3 0.00300998 0.00300092
5 1 4 0.0008146 0.000813937
5 1 5 0.000285077 0.000284996
5 1 6 0.000118216 0.000118202
5 1 7 5.60771e-05 5.60739e-05
5 1 8 2.91943e-05 2.91935e-05
5 1 9 1.63022e-05 1.6302e-05
5 1 10 9.72092e-06 9.72083e-06
5 2 0 0.135335 0.11702
5 2 1 0.0649587 0.0607391
5 2 2 0.0119915 0.0118477
5 2 3 0.00259085 0.00258414
5 2 4 0.000747345 0.000746786
5 2 5 0.000268754 0.000268682
5 2 6 0.000113624 0.000113611
5 2 7 5.43921e-05 5.43892e-05
5 2 8 2.8473e-05 2.84721e-05
5 2 9 1.60416e-05 1.60414e-05
5 2 10 9.58218e-06 9.58209e-06
5 3 0 0.011109 0.0109856
5 3 1 0.0186095 0.0182632
5 3 2 0.00728402 0.00723096
5 3 3 0.00201315 0.0020091
5 3 4 0.00064237 0.000641957
5 3 5 0.000244682 0.000244622
5 3 6 0.000106335 0.000106323
5 3 7 5.17771e-05 5.17744e-05
5 3 8 2.74099e-05 2.74092e-05
5 3 9 1.55258e-05 1.55255e-05
5 3 10 9.33135e-06 9.33126e-06
5 4 0 0.000335463 0.00033535
5 4 1 0.00324346 0.00323294
5 4 2 0.00361478 0.00360171
5 4 3 0.00141969 0.00141768
5 4 4 0.000524961 0.000524685
5 4 5 0.000213558 0.000213513
5 4 6 9.66329e-05 9.66235e-05
5 4 7 4.83072e-05 4.83049e-05
5 4 8 2.59557e-05 2.5955e-05
5 4 9 1.48795e-05 1.48793e-05
5 4 10 8.99396e-06 8.99388e-06
5 5 0 3.72665e-06 3.72664e-06
5 5 1 0.000340843 0.000340727
5 5 2 0.00146525 0.00146311
5 5 3 0.000905095 0.000904276
5 5 4 0.000402216 0.000402054
5 5 5 0.000178919 0.000178887
5 5 6 8.56394e-05 8.5632e-05
5 5 7 4.40473e-05 4.40453e-05
5 5 8 2.42584e-05 2.42578e-05
5 5 9 1.41138e-05 1.41136e-05
5 5 10 8.62741e-06 8.62733e-06
5 6 0 1.523e-08 1.523e-08
5 6 1 2.18197e-05 2.18192e-05
5 6 2 0.000489759 0.000489519
5 6 3 0.000524212 0.000523937
5 6 4 0.000290937 0.000290852
5 6 5 0.000145513 0.000145492
5 6 6 7.396e-05 7.39546e-05
5 6 7 3.95277e-05 3.95262e-05
5 6 8 2.22326e-05 2.22321e-05
5 6 9 1.31744e-05 1.31742e-05
5 6 10 8.1461e-06 8.14604e-06
5 7 0 2.28973e-11 2.28973e-11
5 7 1 8.32573e-07 8.32572e-07
5 7 2 0.000133148 0.00013313
5 7 3 0.000272979 0.000272905
5 7 4 0.000198717 0.000198678
5 7 5 0.00011324 0.000113227
5 7 6 6.19026e-05 6.18988e-05
5 7 7 3.45884e-05 3.45872e-05
5 7 8 2.01662e-05 2.01658e-05
5 7 9 1.21779e-05 1.21777e-05
5 7 10 7.66835e-06 7.66829e-06
5 8 0 1.26642e-14 1.26642e-14
5 8 1 1.82486e-08 1.82486e-08
5 8 2 2.97189e-05 2.9718e-05
5 8 3 0.000129034 0.000129017
5 8 4 0.000127498 0.000127481
5 8 5 8.49047e-05 8.48975e-05
5 8 6 5.06402e-05 5.06376e-05
5 8 7 2.97941e-05 2.97932e-05
5 8 8 1.79386e-05 1.79382e-05
5 8 9 1.11335e-05 1.11334e-05
5 8 10 7.10651e-06 7.10646e-06
5 9 0 2.57676e-18 2.57676e-18
5 9 1 2.15398e-10 2.15398e-10
5 9 2 5.41289e-06 5.41286e-06
5 9 3 5.49888e-05 5.49857e-05
5 9 4 7.74279e-05 7.74219e-05
5 9 5 6.11769e-05 6.11731e-05
5 9 6 4.01868e-05 4.01852e-05
5 9 7 2.51425e-05 2.51419e-05
5 9 8 1.57507e-05 1.57505e-05
5 9 9 1.00247e-05 1.00246e-05
5 9 10 6.54618e-06 6.54614e-06
5 10 0 1.92875e-22 1.92875e-22
5 10 1 1.22389e-12 1.22389e-12
5 10 2 8.12063e-07 8.12063e-07
5 10 3 2.12895e-05 2.12891e-05
5 10 4 4.41519e-05 4.41499e-05
5 10 5 4.24425e-05 4.24407e-05
5 10 6 3.10673e-05 3.10663e-05
5 10 7 2.07809e-05 2.07805e-05
5 10 8 1.35882e-05 1.3588e-05
5 10 9 8.91453e-06 8.91445e-06
5 10 10 5.94585e-06 5.94582e-06
6 0 0 1 0
6 0 1 0.124143 0.108731
6 0 2 0.00800505 0.00794096
6 0 3 0.00100463 0.00100362
6 0 4 0.000202109 0.000202068
6 0 5 5.70084e-05 5.70052e-05
6 0 6 1.97832e-05 1.97828e-05
6 0 7 7.998e-06 7.99794e-06
6 0 8 3.64829e-06 3.64827e-06
6 0 9 1.82667e-06 1.82667e-06
6 0 10 9.74151e-07 9.7415e-07
6 1 0 0.606531 0.238651
6 1 1 0.0981507 0.0885171
6 1 2 0.00722656 0.00717434
6 1 3 0.000950649 0.000949745
6 1 4 0.000197589 0.00019755
6 1 5 5.60452e-05 5.60421e-05
6 1 6 1.94828e-05 1.94824e-05
6 1 7 7.9286e-06 7.92853e-06
6 1 8 3.61577e-06 3.61576e-06
6 1 9 1.80553e-06 1.80553e-06
6 1 10 9.67641e-07 9.6764e-07
6 2 0 0.135335 0.11702
6 2 1 0.0461114 0.0439852
6 2 2 0.0053373 0.00530881
6 2 3 0.000816054 0.000815388
6 2 4 0.000181499 0.000181466
6 2 5 5.28138e-05 5.28111e-05
6 2 6 1.87307e-05 1.87303e-05
6 2 7 7.68424e-06 7.68418e-06
6 2 8 3.53031e-06 3.5303e-06
6 2 9 1.77023e-06 1.77023e-06
6 2 10 9.48137e-07 9.48136e-07
6 3 0 0.011109 0.0109856
6 3 1 0.0130302 0.0128604
6 3 2 0.00323825 0.00322777
6 3 3 0.000637553 0.000637147
6 3 4 0.000156171 0.000156146
6 3 5 4.78252e-05 4.78229e-05
6 3 6 1.74789e-05 1.74786e-05
6 3 7 7.30586e-06 7.30581e-06
6 3 8 3.39959e-06 3.39957e-06
6 3 9 1.72254e-06 1.72254e-06
6 3 10 9.27857e-07 9.27856e-07
6 4 0 0.000335463 0.00033535
6 4 1 0.00228062 0.00227541
6 4 2 0.00161167 0.00160907
6 4 3 0.000448239 0.000448038
6 4 4 0.00012759 0.000127574
6 4 5 4.19048e-05 4.1903e-05
6 4 6 1.59279e-05 1.59277e-05
6 4 7 6.81087e-06 6.81082e-06
6 4 8 3.21368e-06 3.21367e-06
6 4 9 1.64557e-06 1.64557e-06
6 4 10 8.96293e-07 8.96292e-07
6 5 0 3.72665e-06 3.72664e-06
6 5 1 0.000240417 0.00024036
6 5 2 0.000657666 0.000657234
6 5 3 0.000286625 0.000286543
6 5 4 9.75558e-05 9.75462e-05
6 5 5 3.51665e-05 3.51653e-05
6 5 6 1.41064e-05 1.41062e-05
6 5 7 6.2071e-06 6.20706e-06
6 5 8 3.01095e-06 3.01094e-06
6 5 9 1.55913e-06 1.55913e-06
6 5 10 8.55699e-07 8.55698e-07
6 6 0 1.523e-08 1.523e-08
6 6 1 1.54054e-05 1.54052e-05
6 6 2 0.000218126 0.000218078
6 6 3 0.000165751 0.000165724
6 6 4 7.07164e-05 7.07114e-05
6 6 5 2.84053e-05 2.84044e-05
6 6 6 1.2172e-05 1.21719e-05
6 6 7 5.5909e-06 5.59087e-06
6 6 8 2.74975e-06 2.74974e-06
6 6 9 1.45762e-06 1.45762e-06
6 6 10 8.12084e-07 8.12083e-07
6 7 0 2.28973e-11 2.28973e-11
6 7 1 5.95825e-07 5.95824e-07
6 7 2 5.93012e-05 5.92977e-05
6 7 3 8.63616e-05 8.63541e-05
6 7 4 4.79836e-05 4.79812e-05
6 7 5 2.21496e-05 2.21491e-05
6 7 6 1.01998e-05 1.01997e-05
6 7 7 4.88295e-06 4.88292e-06
6 7 8 2.49459e-06 2.49458e-06
6 7 9 1.3503e-06 1.3503e-06
6 7 10 7.59178e-07 7.59177e-07
6 8 0 1.26642e-14 1.26642e-14
6 8 1 1.2972e-08 1.2972e-08
6 8 2 1.32457e-05 1.32455e-05
6 8 3 4.06813e-05 4.06796e-05
6 8 4 3.08967e-05 3.08958e-05
6 8 5 1.6618e-05 1.66177e-05
6 8 6 8.32077e-06 8.3207e-06
6 8 7 4.23194e-06 4.23193e-06
6 8 8 2.22148e-06 2.22147e-06
6 8 9 1.22795e-06 1.22795e-06
6 8 10 7.05693e-07 7.05693e-07
6 9 0 2.57676e-18 2.57676e-18
6 9 1 1.5316e-10 1.5316e-10
6 9 2 2.43504e-06 2.43504e-06
6 9 3 1.74568e-05 1.74565e-05
6 9 4 1.87807e-05 1.87803e-05
6 9 5 1.19447e-05 1.19446e-05
6 9 6 6.58002e-06 6.57998e-06
6 9 7 3.56424e-06 3.56422e-06
6 9 8 1.95039e-06 1.95039e-06
6 9 9 1.10514e-06 1.10514e-06
6 9 10 6.48438e-07 6.48438e-07
6 10 0 1.92875e-22 1.92875e-22
6 10 1 8.68727e-13 8.68727e-13
6 10 2 3.6175e-07 3.61749e-07
6 10 3 6.71661e-06 6.71657e-06
6 10 4 1.07811e-05 1.0781e-05
6 10 5 8.34746e-06 8.34739e-06
6 10 6 5.09652e-06 5.09649e-06
6 10 7 2.93699e-06 2.93698e-06
6 10 8 1.68878e-06 1.68877e-06
6 10 9 9.83841e-07 9.8384e-07
6 10 10 5.8998e-07 5.8998e-07
7 0 0 1 0
7 0 1 0.0871777 0.0795778
7 0 2 0.00359046 0.00357757
7 0 3 0.000315704 0.000315604
7 0 4 4.90193e-05 4.90169e-05
7 0 5 1.10669e-05 1.10668e-05
7 0 6 3.25771e-06 3.2577e-06
7 0 7 1.12895e-06 1.12895e-06
7 0 8 4.52317e-07 4.52317e-07
7 0 9 2.00362e-07 2.00362e-07
